UniProt_ID,Protein,Gene,OMIM_ID
P56705,WNT4_HUMAN,WNT4,158330
Q9NZC7,WWOX_HUMAN,WWOX,133239
Q5VIR6,VPS53_HUMAN,VPS53,615851
O95389,WISP3_HUMAN,WISP3,208230
P04275,VWF_HUMAN,VWF,193400
O76024,WFS1_HUMAN,WFS1,116400
Q8WVS4,WDR60_HUMAN,WDR60,615503
O43516,WIPF1_HUMAN,WIPF1,614493
Q9P202,WHRN_HUMAN,WHRN,607084
P98170,XIAP_HUMAN,XIAP,300635
Q9BQB6,VKOR1_HUMAN,VKORC1,122700
Q8NEZ2,VP37A_HUMAN,VPS37A,614898
Q9H267,VP33B_HUMAN,VPS33B,208085
Q8N1G0,ZN687_HUMAN,ZNF687,616833
Q15928,ZN141_HUMAN,ZNF141,615226
Q6XR72,ZNT10_HUMAN,SLC30A10,613280
Q9UDY2,ZO2_HUMAN,TJP2,607748
O75800,ZMY10_HUMAN,ZMYND10,615444
Q9H091,ZMY15_HUMAN,ZMYND15,615842
Q9H582,ZN644_HUMAN,ZNF644,614167
O00744,WN10B_HUMAN,WNT10B,225300
Q92889,XPF_HUMAN,ERCC4,278760
Q2M389,WASC4_HUMAN,WASHC4,615817
Q9P2L0,WDR35_HUMAN,WDR35,613610
Q96J92,WNK4_HUMAN,WNK4,614491
Q14191,WRN_HUMAN,WRN,114500
Q9H4A3,WNK1_HUMAN,WNK1,201300
O43895,XPP2_HUMAN,XPNPEP2,300909
O43543,XRCC2_HUMAN,XRCC2,617247
P38435,VKGC_HUMAN,GGCX,277450
Q96RL7,VP13A_HUMAN,VPS13A,200150
Q96AX1,VP33A_HUMAN,VPS33A,617303
Q9NZR4,VSX1_HUMAN,VSX1,148300
Q6P4I2,WDR73_HUMAN,WDR73,251300
O43379,WDR62_HUMAN,WDR62,604317
P19544,WT1_HUMAN,WT1,136680
Q9NQH7,XPP3_HUMAN,XPNPEP3,613159
O75695,XRP2_HUMAN,RP2,312600
Q12768,WASC5_HUMAN,WASHC5,220210
P51811,XK_HUMAN,XK,300842
Q562E7,WDR81_HUMAN,WDR81,610185
P41221,WNT5A_HUMAN,WNT5A,180700
P18887,XRCC1_HUMAN,XRCC1,617633
P35968,VGFR2_HUMAN,KDR,602089
Q8NI36,WDR36_HUMAN,WDR36,609887
Q502W6,VWA3B_HUMAN,VWA3B,616948
P0C1S8,WEE2_HUMAN,WEE2,617996
P04628,WNT1_HUMAN,WNT1,166710
Q96EX3,WDR34_HUMAN,WDR34,615633
Q8NEZ3,WDR19_HUMAN,WDR19,614376
P42768,WASP_HUMAN,WAS,300299
Q9GZT5,WN10A_HUMAN,WNT10A,150400
O00755,WNT7A_HUMAN,WNT7A,228930
Q9UBH6,XPR1_HUMAN,XPR1,616413
Q9GZS0,DNAI2_HUMAN,DNAI2,612444
Q96JM3,CHAP1_HUMAN,CHAMP1,616579
Q8WYQ3,CHC10_HUMAN,CHCHD10,615048
P25686,DNJB2_HUMAN,DNAJB2,614881
O75190,DNJB6_HUMAN,DNAJB6,603511
Q9H3Z4,DNJC5_HUMAN,DNAJC5,162350
O00429,DNM1L_HUMAN,DNM1L,610708
Q9Y6K1,DNM3A_HUMAN,DNMT3A,615879
Q9UBC3,DNM3B_HUMAN,DNMT3B,158901
P26358,DNMT1_HUMAN,DNMT1,604121
Q13609,DNSL3_HUMAN,DNASE1L3,614420
Q92608,DOCK2_HUMAN,DOCK2,616433
Q96HP0,DOCK6_HUMAN,DOCK6,614219
Q96N67,DOCK7_HUMAN,DOCK7,615859
Q8NF50,DOCK8_HUMAN,DOCK8,243700
Q18PE1,DOK7_HUMAN,DOK7,254300
Q9UPQ8,DOLK_HUMAN,DOLK,610768
Q9NYP3,DONS_HUMAN,DONSON,251230
P09172,DOPO_HUMAN,DBH,223360
Q1HG44,DOXA2_HUMAN,DUOXA2,274900
A2IDD5,CCD78_HUMAN,CCDC78,614807
P04234,CD3D_HUMAN,CD3D,615617
Q9Y5K6,CD2AP_HUMAN,CD2AP,607832
Q6P1J9,CDC73_HUMAN,CDC73,145000
P13987,CD59_HUMAN,CD59,612300
O76039,CDKL5_HUMAN,CDKL5,300672
P46527,CDN1B_HUMAN,CDKN1B,610755
P49715,CEBPA_HUMAN,CEBPA,601626
O94986,CE152_HUMAN,CEP152,613823
Q96MT8,CEP63_HUMAN,CEP63,614728
Q86XR8,CEP57_HUMAN,CEP57,614114
P00450,CERU_HUMAN,CP,604290
Q4LDG9,DNAL1_HUMAN,DNAL1,614017
P24855,DNAS1_HUMAN,DNASE1,152700
Q9NWW5,CLN6_HUMAN,CLN6,204300
P05093,CP17A_HUMAN,CYP17A1,202110
O15528,CP27B_HUMAN,CYP27B1,264700
Q6VVX0,CP2R1_HUMAN,CYP2R1,600081
Q9H799,CPLN1_HUMAN,CPLANE1,277170
P22914,CRYGS_HUMAN,CRYGS,116100
Q99062,CSF3R_HUMAN,CSF3R,162830
